Type;Name;Calorie;ImageId;Description
Burger;Big Mac;550;big_mac;Mouthwatering perfection starts with two 100% pure beef patties and Big Mac sauce sandwiched between a sesame seed bun. It’s topped off with pickles, crisp shredded lettuce, finely chopped onion and American cheese.
Burger;Quarter Pounder®* with Cheese;510;quarter_pounder_with_cheese;Each Quarter Pounder with Cheese burger features a ¼ lb.* of 100% fresh beef that’s hot, deliciously juicy and cooked when you order. It’s seasoned with just a pinch of salt and pepper, sizzled on a flat iron grill, then topped with slivered onions, tangy pickles and two slices of melty cheese on a sesame seed bun. Our QPC® contains no artificial flavors, preservatives or added colors from artificial sources. **Our pickle contains an artificial preservative, so skip it if you like.
Burger;Double Quarter Pounder®* with Cheese;720;double_quarter_pounder_with_cheese;Each Double Quarter Pounder with Cheese features two quarter pound* 100% fresh beef burger patties that are hot, deliciously juicy and cooked when you order. McDonald’s beef patties are seasoned with just a pinch of salt and pepper, sizzled on a flat iron grill, then topped with slivered onions, tangy pickles and two slices of melty cheese on a sesame seed bun. It contains no artificial flavors, preservatives or added colors from artificial sources.** Our pickle contains an artificial preservative, so skip it if you like.
Burger;Quarter Pounder®* with Cheese Deluxe;620;quarter_pounder_with_cheese_deluxe;The Quarter Pounder® with Cheese Deluxe is a fresh take on a Quarter Pounder® classic burger. Crisp leaf lettuce and three Roma tomato slices top a ¼ lb.* of 100% McDonald’s fresh beef that’s hot, deliciously juicy and cooked when you order. Seasoned with just a pinch of salt and pepper and sizzled on our flat iron grill. Layered with two slices of melty American cheese, creamy mayo, slivered onions and tangy pickles on a soft, fluffy sesame seed hamburger bun.
Burger;McDouble;390;mcdouble;A classic double burger from McDonald’s, the McDouble® stacks two 100% pure beef patties seasoned with just a pinch of salt and pepper. It’s topped with tangy pickles, chopped onions, ketchup, mustard and a slice of melty American cheese. It contains no artificial flavors, preservatives or added colors from artificial sources.* Our pickle contains an artificial preservative, so skip it if you like.
Burger;Quarter Pounder®* with Cheese Bacon;620;quarter_pounder_with_cheese_bacon;Each Quarter Pounder® with Cheese Bacon burger features thick-cut applewood smoked bacon atop a ¼ lb.* of 100% fresh McDonald’s beef that’s cooked when you order. It’s a hot, deliciously juicy bacon cheeseburger, seasoned with just a pinch of salt and pepper and sizzled on our flat iron grill. Layered with two slices of melty American cheese, slivered onions and tangy pickles on a soft, fluffy sesame seed hamburger bun.
Drink;Coca-Cola®;150;coca_cola;Coca-Cola® is a refreshing McDonald's soda option that complements all of your menu favorites. Have you ever wondered, is Coke® at McDonald’s different? Visit our Why Does McDonalds Coca Cola Taste So Good FAQ to find out. Enjoy a refreshing Coke® at McDonald’s in extra small, small, medium and large for $1 on the $1 $2 $3 Dollar Menu.
Drink;Small Sprite®;140;small_sprite;Sprite fountain drink has a delicious lemon-lime taste and is available in sizes Extra Small, Small, Medium, and Large. Sprite is a caffeine-free soft drink and makes the perfect addition to any McDonald’s Combo Meal.
Drink;Fanta® Orange;150;fanta;Caffeine-free Fanta® Orange full of bubbly, refreshing orange flavor. Available in Extra Small, Small, Medium, and Large.
Drink;Dr Pepper®;140;dr_pepper;McDonald's serves Dr Pepper®, the classic and refreshing fountain drink. This McDonald's soda option is perfect to pair with any of your favorite menu items. Available in extra small, small, medium and large for $1 on our $1 $2 $3 Dollar Menu.
Snack;Small World Famous Fries®;220;small_world_famous_fries;Our World Famous Fries® are made with premium potatoes such as the Russet Burbank and the Shepody. With 0g of trans fat per labeled serving, these epic fries are crispy and golden on the outside and fluffy on the inside. Best of all, you can get medium Fries for free every Friday with any $1 purchase, exclusively in the McDonald’s App. Grab our World Famous Fries® and pair with one of our classic McDonald’s Burgers today!
